PAYM,PAYM_I,PAYM_D,PAYM_A,PAYM_R,Press.Direct,Press.Brand,OOH Spend,Radio,TV,Display.Direct,Display.Brand,FTSE ,Libor,Consumer_Conf,InfRate,VF.Share,Con.VF.Yes,Con.VF.No,BAS.VF,VF.Emotion,VF.Perf.Support,Sales.Season,Natural.Season,Vodafone_A,Vodafone_B,Vodafone_C,Vodafone_D,O2_A_diff,O2_B_diff,O2_D_diff,Orange_B_diff,Orange_D_diff,T-Mobile_B_diff
35308,10214,25094,15937,19371,123171.06,170968,82852.21,22779,0.00000001,0.00000001,73765.50569,6437.3,0.62,-11,0.1,0.168965517,66.7,15.8,82.8125,27.25429916,1.720800042,Launch,Autumn,13,24.46,40.05,53.25,0,1.12,-1.25,-0.85,3.25,-1.78
59695,19944,39751,26258,33437,297685.47,357244,82852.21,21932.52632,0.00000001,0.00000001,80974.43686,6507.7,0.62,-11,0.1,0.168965517,66.7,9.9,88.14814815,27.25429916,1.720800042,Launch,Autumn,13,24.46,40.05,53.25,0,1.12,-1.25,-0.85,3.25,-1.78
73016,22313,50703,34690,38326,408322.09,191572,167238.83,51175.89474,0.00000001,0.00000001,99028.905,6654.2,0.62,-11,0.1,0.168965517,61.1,14.4,86.81318681,27.25429916,1.720800042,Launch,Autumn,13,25,39.86,53.25,0,0.58,-1.25,-1.38,-1.25,-2.32
81258,25874,55384,39453,41805,201203.06,116880,181303.27,51175.89474,103157.8947,0.00000001,112638.4549,6725.8,0.62,-11,0.1,0.17395842,67.9,14.5,88.39779006,27.8333277,1.978200044,Launch,Autumn,13,25,39.86,53.25,0,0.58,-1.25,-1.38,-1.25,-2.32
67702,22364,45338,34519,33183,174467.28,70245,265961.08,63008.78098,490655.0853,9194.029934,88761.00386,6763.6,0.59,-12,0.1,0.186440678,87,17,88.20224719,29.28089905,2.621700048,Launch,Autumn,13,25,39.86,53.25,0,0.58,-1.25,-1.38,-1.25,-2.32
74969,23657,51312,36751,38218,220361.51,36636,249853.5,103718.5784,512255.4942,21452.73651,83803.08871,6728.4,0.59,-12,0.1,0.186440678,77.8,20.6,90.51724138,29.28089905,2.621700048,Launch,Autumn,13,25,39.86,53.25,0,0.58,-1.25,-1.38,-1.25,-2.32
66490,19574,46916,28764,37726,117303.67,162478,249853.5,111596.406,512255.4942,53329.07435,75568.72143,6723.5,0.59,-12,0.1,0.186440678,57.9,13.5,89.81481481,29.28089905,2.621700048,Launch,Autumn,13,25,39.86,53.25,0,0.58,-1.25,-1.38,-1.25,-2.32
52755,11101,41654,14421,38334,159357.41,264223,249853.5,111596.406,512255.4942,89795.11522,80284.25014,6694.6,0.59,-12,0.1,0.186440678,63.6,22.1,88.63636364,29.28089905,2.621700048,Launch,Autumn,13,25,39.86,53.25,0,0.58,-1.25,-1.38,-1.25,-2.32
118732,40019,78713,50539,68193,122839.62,200978,159744,87402.85762,512255.4942,128900.3651,75305.48829,6595.3,0.58,-13,0.5,0.198198198,78.6,19,94.25287356,29.80660057,2.94659996,Launch,Autumn,13,25,39.86,53.25,0,0.58,-1.25,-1.38,-1.25,-2.32
67699,22258,45441,28590,39109,103826.32,55262,144725.75,15755.65517,202781.81,97570.21343,84391.13943,6559.5,0.58,-13,0.5,0.198198198,81,18.9,91.37931034,29.80660057,2.94659996,Launch,Autumn,13,25,39.86,53.25,0,0.58,-1.25,-1.38,-1.25,-2.32
137458,46787,90671,63852,73606,39349.92,0.00000001,245604.39,0.00000001,151202.8626,57900.46812,109504.7126,6522.2,0.58,-13,0.5,0.198198198,78.6,17.1,89.43089431,29.80660057,2.94659996,Launch,Autumn,13,25,39.86,53.25,0,0.58,-1.25,-1.38,-1.25,-2.32
93908,32221,61687,40697,53211,187696.8,204175,262417.5,0.00000001,334495.1703,33363.18275,148000.1314,6678.6,0.58,-13,0.5,0.198198198,63.9,18.5,89.24731183,29.80660057,2.94659996,Launch,Winter,13,25,39.86,53.25,0,0.58,-1.25,-1.38,-1.25,-2.32
72360,25048,47312,35495,36865,177777.4,149021,250248.21,27906.97674,299810.0487,15028.96262,119257.2601,6731.3,0.58,-13,0.5,0.209906584,81.8,19.8,88.19444444,30.25642858,3.031285695,Launch,Winter,13,25,39.86,53.25,0,0.58,-1.25,-1.38,-1.25,-2.32
77143,28636,48507,39800,37343,170883.4,153325,248220,48837.2093,36658.46154,0.00000001,87026.91629,6730.7,0.58,-7,-0.8,0.218687873,75,11.9,85.6,30.59379959,3.094799995,Launch,Winter,13,25,39.86,53.25,0,0.58,-1.25,-1.38,-1.25,-2.32
59479,18998,40481,29412,30067,81435.6,0.00000001,201731.57,48837.2093,0.00000001,0.00000001,74580.13043,6757.2,0.58,-7,-0.8,0.218687873,76.2,21.4,84.31372549,30.59379959,3.094799995,Launch,Winter,13,25,39.86,53.25,0,-0.28,-1.25,-1.45,-0.26,-1.01
78110,28512,49598,39583,38527,210908.6,55782,152613.5,48837.2093,0.00000001,0.00000001,65401.98257,6836.7,0.58,-7,-0.8,0.218687873,90.9,17.2,87.67123288,30.59379959,3.094799995,Launch,Winter,13,25,39.86,53.25,0,-0.28,-1.25,-1.45,-0.26,-1.01
76803,28306,47916,41141,35081,341337.7,44952,21801.93,48837.2093,0.00000001,0.00000001,106788.8867,6550.7,0.58,-7,-0.8,0.218687873,73.3,23,90.38461538,30.59379959,3.094799995,Post_Launch,Winter,13,25,39.86,53.25,0,-0.28,-1.25,-1.45,-0.26,-0.65
